Location,County,Location - RegionId,Indicator,Indicator Name,Indicator - Reference Name,Measure,Measure Name,Measure - Units,Scale,Units,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0500000US53021,Franklin County,US_WA021,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,26428,27294,28056,28594,28907,29089,29294,29548,29469,29843
0500000US53021,Franklin County,US_WA021,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,44814,46511,48015,48884,49459,50213,51016,51642,52420,53641
0500000US53021,Franklin County,US_WA021,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,21564,21508,21492,21968,22018,22485,22732
0500000US53021,Franklin County,US_WA021,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,27320,27951,28721,29048,29624,29935,30909
0500000US53021,Franklin County,US_WA021,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,10039,10368,10776,11514,12015,12980,12998
0500000US53021,Franklin County,US_WA021,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,5631,5992,6226,6492,6867,7271,7643,8094,8744,8764
0500000US53019,Ferry County,US_WA019,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,1479,1452,1407,1379,1396,1352,1312,1232,1227,1245
0500000US53019,Ferry County,US_WA019,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,345,326,342,318,306,298,336
0500000US53019,Ferry County,US_WA019,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,1034,1070,1010,994,926,929,909
0500000US53019,Ferry County,US_WA019,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,1433,1429,1385,1343,1372,1336,1289,1191,1200,1217
0500000US53019,Ferry County,US_WA019,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,4588,4589,4602,4576,4473,4399,4343,4346,4257,3894
0500000US53019,Ferry County,US_WA019,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,1312,1222,1205,1198,1182,1176,1103
0500000US53019,Ferry County,US_WA019,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,3264,3251,3194,3145,3164,3081,2791
0500000US53019,Ferry County,US_WA019,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,2373,2452,2527,2609,2663,2834,2579
0500000US53019,Ferry County,US_WA019,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,1413,1471,1534,1586,1658,1710,1811,1905,2082,1985
0500000US53017,Douglas County,US_WA017,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,10257,10335,10369,10417,10484,10634,10756,10943,10839,10912
0500000US53017,Douglas County,US_WA017,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,2826,2815,2776,2782,2751,2676,2674
0500000US53017,Douglas County,US_WA017,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,7591,7669,7858,7974,8192,8163,8238
0500000US53017,Douglas County,US_WA017,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,10151,10186,10208,10364,10383,10523,10672,10858,10753,10838
0500000US53017,Douglas County,US_WA017,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,22577,22754,22841,23016,23162,23294,23650,23780,24080,24184
0500000US53017,Douglas County,US_WA017,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,8046,8176,8276,8452,8539,8679,8719
0500000US53017,Douglas County,US_WA017,S1701_C01_008,35 to 64 years,AGE!!18 to 64 years!!35 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,,,,14970,14986,15018,15198,15241,15401,15465
0500000US53017,Douglas County,US_WA017,S1701_C01_009,60 years and over,AGE!!60 years and over,KN.M2,"Total, Estimate",Number,units,Number,,,,8307,8734,9036,9440,9798,9932,9796
0500000US53017,Douglas County,US_WA017,S1701_C01_010,65 years and over,AGE!!65 years and over,KN.M2,"Total, Estimate",Number,units,Number,5233,5443,5713,5939,6202,6458,6754,7139,7364,7327
0500000US53015,Cowlitz County,US_WA015,S1701_C01_002,Under 18 years,AGE!!Under 18 years,KN.M2,"Total, Estimate",Number,units,Number,24064,23925,23354,23312,22864,22996,23521,23849,23916,24438
0500000US53015,Cowlitz County,US_WA015,S1701_C01_003,Under 5 years,AGE!!Under 18 years!!Under 5 years,KN.M2,"Total, Estimate",Number,units,Number,,,,5966,5697,5769,6003,6078,6196,6268
0500000US53015,Cowlitz County,US_WA015,S1701_C01_004,5 to 17 years,AGE!!Under 18 years!!5 to 17 years,KN.M2,"Total, Estimate",Number,units,Number,,,,17346,17167,17227,17518,17771,17720,18170
0500000US53015,Cowlitz County,US_WA015,S1701_C01_005,Related children of householder under 18 years,AGE!!Under 18 years!!Related children of householder under 18 years,KN.M2,"Total, Estimate",Number,units,Number,23949,23778,23157,23103,22600,22727,23314,23603,23699,24246
0500000US53015,Cowlitz County,US_WA015,S1701_C01_006,18 to 64 years,AGE!!18 to 64 years,KN.M2,"Total, Estimate",Number,units,Number,61087,60735,60624,60195,60205,60473,61075,61765,62632,63226
0500000US53015,Cowlitz County,US_WA015,S1701_C01_007,18 to 34 years,AGE!!18 to 64 years!!18 to 34 years,KN.M2,"Total, Estimate",Number,units,Number,,,,19689,19742,19956,20352,20875,21291,21598
